Algorithm,Mean_SCBI,Std_SCBI,Min_SCBI,Max_SCBI,Median_SCBI,Mean_Score_Quality,Mean_Coverage,Mean_Diversity,Mean_Efficiency,Mean_Balance,Num_Videos
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_4.0_long_6.0_temporal_iter2,0.22288953941727907,0.27473961393930735,0.0,0.9913330558112607,0.06332708717546692,0.2624457455012248,0.18333333333333332,0.19910608815407485,0.5985751134199898,0.08584780085800908,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_4.0_long_6.0_temporal_iter3,0.2161155334117826,0.26971554385865365,0.0,0.999329754371934,0.06332708717546692,0.2622310668235652,0.17,0.1995781028364341,0.5951556498901387,0.07931518059704484,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_5.0_long_8.0_temporal_iter2,0.21536152933493796,0.27374245143015685,0.0,0.992848866595341,0.05869457307457588,0.2573897253365426,0.17333333333333334,0.23244238244634285,0.5983652872008993,0.08943391445329345,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_4.0_long_6.0_temporal_iter2,0.21493039977720418,0.27138620604739144,0.0,0.9925217900992389,0.05869457307457588,0.2565274662210751,0.17333333333333334,0.22781322690594066,0.5885815983415642,0.08680474929628831,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_3.0_med_6.0_long_10.0_temporal_iter1,0.21271753210167893,0.2662502013015437,0.0,0.999996957541268,0.0671751284640191,0.27543506420335784,0.15,0.2229366035512271,0.6243963865673617,0.07805659718889833,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_5.0_long_8.0_temporal_iter2,0.21221822029208282,0.26912745935717813,0.0,0.9917063556091381,0.05400173921788263,0.25776977391749895,0.16666666666666666,0.20345214541434378,0.6118756024849669,0.07910327954013668,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_3.0_long_5.0_temporal_iter2,0.21042708882167166,0.26886050890262575,0.0,0.995003139683172,0.046253874904034376,0.25085417764334333,0.17,0.19593315722387572,0.5753470830950121,0.07914940933201745,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_5.0_long_8.0_score_diff_iter1,0.20897718508381027,0.2643377013460466,0.0,0.999996957541268,0.06132885188127654,0.2712877035009539,0.14666666666666667,0.19567086943038195,0.6146331181500462,0.0737475177405628,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_4.0_long_6.0_temporal_iter2,0.20873924889354542,0.26258461862877464,0.0,0.9951379137095733,0.05159143095846217,0.2541451644537575,0.16333333333333333,0.19412189593858475,0.6016380671693297,0.0723947209721058,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_5.0_long_8.0_score_diff_iter1,0.20824279893673195,0.2698456748657927,0.0,0.999996957541268,0.056026916732814236,0.2631522645401306,0.15333333333333332,0.19398508245772247,0.6150675578005659,0.08046177652622506,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_3.0_med_6.0_long_10.0_temporal_iter1,0.2080983058603917,0.2601611440006987,0.0,0.999996957541268,0.07451447458457913,0.2761966117207834,0.14,0.22457877675483634,0.6275036362595314,0.07194437280833417,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_4.0_long_6.0_score_diff_iter1,0.20742718787255776,0.25979826277540424,0.0,0.999996957541268,0.06569399966724371,0.26485437574511556,0.15,0.1995737347845369,0.5979359599566715,0.06867679964711329,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_5.0_long_8.0_score_diff_iter1,0.2073902688861217,0.2601285647542704,0.0,0.999996957541268,0.062196344138789994,0.27144720443891,0.14333333333333334,0.19609627955405037,0.6178913749466342,0.06976099894959066,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_3.0_med_6.0_long_10.0_temporal_iter1,0.20650246910947398,0.2584706500207764,0.0,0.9999970171483001,0.06948515918152501,0.2696716048856146,0.14333333333333334,0.22752078655429173,0.6247134561341728,0.07054794803633808,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_4.0_long_6.0_score_diff_iter1,0.2064191474917731,0.25882998284271436,0.0,0.999996957541268,0.06569399966724371,0.2661716283168795,0.14666666666666667,0.19600461771816446,0.5979475600847685,0.06734006498371589,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_5.0_long_8.0_score_diff_iter3,0.20628802596037563,0.2695710152013709,0.0,0.999996957541268,0.0550372416173765,0.2659093852540846,0.14666666666666667,0.1969194572597343,0.6111922447064564,0.07921130796750528,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_4.0_long_6.0_temporal_iter1,0.20580173561647225,0.26064145392601673,0.0,0.9951379137095733,0.05400173921788263,0.2616034712329445,0.15,0.19326996392697518,0.6015477001873994,0.06928226785035507,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_5.0_long_8.0_temporal_iter3,0.20514783839847628,0.26428206312640423,0.0,0.999329754371934,0.05400173921788263,0.25696234346361924,0.15333333333333332,0.2036424881224592,0.6084303252626355,0.07319632026321184,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_4.0_long_6.0_temporal_iter3,0.20509165148335892,0.26017651592004787,0.0,0.999329754371934,0.0550372416173765,0.25018330296671787,0.16,0.19096467500656641,0.5858707280762947,0.07130526815792959,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_3.0_med_6.0_long_10.0_score_diff_iter1,0.20492621811347092,0.26101186326895365,0.0,0.999996957541268,0.061565617614646295,0.2731857695602752,0.13666666666666666,0.21485583557822044,0.6175022424276504,0.07291903244781404,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_5.0_long_8.0_score_diff_iter2,0.20457663276402363,0.2562060178837286,0.0,0.9956774713923502,0.05505167106564257,0.2591532655280472,0.15,0.1923986448947711,0.6157665759291653,0.06921637007210046,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_3.0_med_6.0_long_10.0_score_diff_iter3,0.20391838028814546,0.25344181072259203,0.0,0.999996957541268,0.061565617614646295,0.2745034272429577,0.13333333333333333,0.21256892882200687,0.613943683035756,0.062240143290111224,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_4.0_long_6.0_score_diff_iter2,0.20348699741611018,0.2568662520040825,0.0,0.999996957541268,0.0654390819209614,0.2669739948322204,0.14,0.1972064671277028,0.6013158353882975,0.06541055543534538,300
