import time: self [us] | cumulative | imported package
import time:       404 |       7278 |                     torch.utils.data.datapipes.datapipe
import time:       218 |       7495 |                   torch.utils.data.datapipes.iter.utils
import time:       224 |        224 |                     torch.utils.data.datapipes._decorator
import time:       124 |        124 |                           torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       132 |        256 |                         torch.utils.data.datapipes.dataframe.structures
import time:       438 |        693 |                       torch.utils.data.datapipes.dataframe.dataframes
import time:       287 |        287 |                       torch.utils.data.datapipes.dataframe.datapipes
import time:       130 |       1109 |                     torch.utils.data.datapipes.dataframe
import time:       310 |       1642 |                   torch.utils.data.datapipes.iter.callable
import time:       305 |        305 |                   torch.utils.data.datapipes.iter.combinatorics
import time:       557 |        557 |                   torch.utils.data.datapipes.iter.combining
import time:       203 |        203 |                   torch.utils.data.datapipes.iter.filelister
import time:       176 |        176 |                   torch.utils.data.datapipes.iter.fileopener
import time:       236 |        236 |                     torch.utils.data.datapipes.iter.sharding
import time:       349 |        584 |                   torch.utils.data.datapipes.iter.grouping
import time:       186 |        186 |                     torch.utils.data.datapipes.utils.decoder
import time:       228 |        413 |                   torch.utils.data.datapipes.iter.routeddecoder
import time:       203 |        203 |                   torch.utils.data.datapipes.iter.selecting
import time:       272 |        272 |                   torch.utils.data.datapipes.iter.streamreader
import time:       182 |      12026 |                 torch.utils.data.datapipes.iter
import time:       150 |        150 |                   torch.utils.data.datapipes.map.callable
import time:       168 |        168 |                   torch.utils.data.datapipes.map.combinatorics
import time:       544 |        544 |                   torch.utils.data.datapipes.map.combining
import time:       150 |        150 |                   torch.utils.data.datapipes.map.grouping
import time:        86 |         86 |                   torch.utils.data.datapipes.map.utils
import time:        93 |       1189 |                 torch.utils.data.datapipes.map
import time:       146 |      13361 |               torch.utils.data.datapipes
import time:        10 |      13370 |             torch.utils.data.datapipes.datapipe
import time:       141 |        141 |                 torch.utils.data.graph
import time:        94 |        235 |               torch.utils.data.graph_settings
import time:       461 |        695 |             torch.utils.data.dataloader
import time:       134 |        134 |             torch.utils.data.distributed
import time:       150 |      15097 |           torch.utils.data
import time:       124 |        124 |           torch.__config__
import time:       112 |        112 |           torch.__future__
import time:       261 |        261 |               gzip
import time:       677 |        677 |                 torch.profiler._utils
import time:      2089 |       2765 |               torch.profiler._memory_profiler
import time:       395 |       3420 |             torch.profiler.profiler
import time:       149 |        149 |             torch.profiler.itt
import time:       208 |       3776 |           torch.profiler
import time:       144 |        144 |           torch.ao
import time:       137 |        137 |                     torch.ao.nn
import time:       195 |        195 |                       torch.ao.nn.quantizable.modules.activation
import time:       241 |        241 |                       torch.ao.nn.quantizable.modules.rnn
import time:       137 |        572 |                     torch.ao.nn.quantizable.modules
import time:       140 |        848 |                   torch.ao.nn.quantizable
import time:         8 |        855 |                 torch.ao.nn.quantizable.modules
import time:         8 |        863 |               torch.ao.nn.quantizable.modules.activation
import time:       134 |        996 |             torch.nn.quantizable.modules
import time:       123 |       1118 |           torch.nn.quantizable
import time:       312 |        312 |                         torch.ao.nn.quantized.modules.activation
import time:       138 |        138 |                         torch.ao.nn.quantized.modules.dropout
import time:       256 |        256 |                               torch.ao.nn.intrinsic.modules.fused
import time:       147 |        403 |                             torch.ao.nn.intrinsic.modules
import time:       131 |        533 |                           torch.ao.nn.intrinsic
import time:       185 |        717 |                         torch.ao.nn.quantized.modules.batchnorm
import time:       225 |        225 |                         torch.ao.nn.quantized.modules.normalization
import time:       156 |        156 |                                     torch.ao.nn.qat.modules.linear
import time:       238 |        238 |                                     torch.ao.nn.qat.modules.conv
import time:       159 |        159 |                                     torch.ao.nn.qat.modules.embedding_ops
import time:       157 |        709 |                                   torch.ao.nn.qat.modules
import time:       121 |        830 |                                 torch.ao.nn.qat
import time:       156 |        985 |                               torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       165 |        165 |                               torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       362 |        362 |                               torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       150 |       1660 |                             torch.ao.nn.intrinsic.qat.modules
import time:       133 |       1793 |                           torch.ao.nn.intrinsic.qat
import time:       160 |        160 |                           torch.ao.nn.quantized.modules.utils
import time:       358 |       2310 |                         torch.ao.nn.quantized.modules.conv
import time:       202 |        202 |                         torch.ao.nn.quantized.modules.linear
import time:       204 |        204 |                         torch.ao.nn.quantized.modules.embedding_ops
import time:       140 |        140 |                         torch.ao.nn.quantized.modules.rnn
import time:       184 |        184 |                         torch.ao.nn.quantized.modules.functional_modules
import time:       203 |       4630 |                       torch.ao.nn.quantized.modules
import time:         9 |       4638 |                     torch.ao.nn.quantized.modules.utils
import time:       212 |       4850 |                   torch.ao.nn.quantized.functional
import time:       132 |       4981 |                 torch.ao.nn.quantized
import time:       177 |        177 |                   torch.ao.nn.quantized.dynamic.modules.linear
import time:       401 |        401 |                   torch.ao.nn.quantized.dynamic.modules.rnn
import time:       249 |        249 |                   torch.ao.nn.quantized.dynamic.modules.conv
import time:       156 |        982 |                 torch.ao.nn.quantized.dynamic.modules
import time:       137 |       6099 |               torch.ao.nn.quantized.dynamic
import time:       126 |       6224 |             torch.nn.quantized.dynamic
import time:       119 |        119 |             torch.nn.quantized.functional
import time:       134 |        134 |             torch.nn.quantized.modules
import time:       148 |       6623 |           torch.nn.quantized
import time:       144 |        144 |                           torch.ao.nn.qat.dynamic.modules.linear
import time:       130 |        274 |                         torch.ao.nn.qat.dynamic.modules
import time:       123 |        397 |                       torch.ao.nn.qat.dynamic
import time:         7 |        403 |                     torch.ao.nn.qat.dynamic.modules
import time:         8 |        411 |                   torch.ao.nn.qat.dynamic.modules.linear
import time:       117 |        527 |                 torch.nn.qat.dynamic.modules.linear
import time:       130 |        656 |               torch.nn.qat.dynamic.modules
import time:       130 |        785 |             torch.nn.qat.dynamic
import time:       116 |        116 |               torch.nn.qat.modules.conv
import time:        99 |         99 |               torch.nn.qat.modules.embedding_ops
import time:        99 |         99 |               torch.nn.qat.modules.linear
import time:       137 |        450 |             torch.nn.qat.modules
import time:       129 |       1363 |           torch.nn.qat
import time:       111 |        111 |               torch.nn.intrinsic.modules.fused
import time:       126 |        237 |             torch.nn.intrinsic.modules
import time:       162 |        162 |                 torch.nn.intrinsic.qat.modules.linear_relu
import time:        96 |         96 |                 torch.nn.intrinsic.qat.modules.linear_fused
import time:        98 |         98 |                 torch.nn.intrinsic.qat.modules.conv_fused
import time:       125 |        479 |               torch.nn.intrinsic.qat.modules
import time:       106 |        584 |             torch.nn.intrinsic.qat
import time:       203 |        203 |                       torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       178 |        178 |                       torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       155 |        155 |                       torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       159 |        159 |                       torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       147 |        840 |                     torch.ao.nn.intrinsic.quantized.modules
import time:       120 |        959 |                   torch.ao.nn.intrinsic.quantized
import time:       107 |       1066 |                 torch.nn.intrinsic.quantized.modules.linear_relu
import time:       100 |        100 |                 torch.nn.intrinsic.quantized.modules.conv_relu
import time:        96 |         96 |                 torch.nn.intrinsic.quantized.modules.bn_relu
import time:       126 |       1386 |               torch.nn.intrinsic.quantized.modules
import time:       148 |        148 |                         torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       147 |        294 |                       torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       117 |        411 |                     torch.ao.nn.intrinsic.quantized.dynamic
import time:       106 |        517 |                   torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       118 |        634 |                 torch.nn.intrinsic.quantized.dynamic.modules
import time:       102 |        736 |               torch.nn.intrinsic.quantized.dynamic
import time:       117 |       2238 |             torch.nn.intrinsic.quantized
import time:       135 |       3193 |           torch.nn.intrinsic
import time:       522 |        522 |           torch._tensor_docs
import time:       130 |        130 |           torch._storage_docs
import time:       180 |        180 |                         torch.ao.quantization.quant_type
import time:       133 |        133 |                                 torch.fx._compatibility
import time:       170 |        170 |                                 torch.fx.immutable_collections
import time:       523 |        523 |                                 torch.fx.operator_schemas
import time:      4438 |       5262 |                               torch.fx.node
import time:       189 |        189 |                               torch.fx._pytree
import time:      1262 |       6712 |                             torch.fx.graph
import time:       396 |       7108 |                           torch.fx.graph_module
import time:       159 |        159 |                               torch.fx.traceback
import time:       583 |        741 |                             torch.fx.proxy
import time:      1162 |       1902 |                           torch.fx._symbolic_trace
import time:       116 |        116 |                             torch.fx.config
import time:       538 |        654 |                           torch.fx.interpreter
import time:       628 |        628 |                           torch.fx.subgraph_rewriter
import time:       155 |      10445 |                         torch.fx
import time:       282 |      10907 |                       torch.ao.quantization.utils
import time:       546 |      11452 |                     torch.ao.quantization.observer
import time:       248 |      11699 |                   torch.ao.quantization.fake_quantize
import time:       192 |        192 |                     torch.ao.quantization.fuser_method_mappings
import time:       171 |        362 |                   torch.ao.quantization.fuse_modules
import time:       358 |        358 |                   torch.ao.quantization.qconfig
import time:       184 |        184 |                   torch.ao.quantization.qconfig_mapping
import time:       226 |        226 |                           torch.ao.nn.quantized.reference.modules.utils
import time:       198 |        423 |                         torch.ao.nn.quantized.reference.modules.linear
import time:       281 |        281 |                         torch.ao.nn.quantized.reference.modules.conv
import time:       279 |        279 |                         torch.ao.nn.quantized.reference.modules.rnn
import time:       164 |        164 |                         torch.ao.nn.quantized.reference.modules.sparse
import time:       156 |       1300 |                       torch.ao.nn.quantized.reference.modules
import time:       136 |       1436 |                     torch.ao.nn.quantized.reference
import time:       226 |        226 |                             torch.ao.nn.sparse.quantized.linear
import time:       129 |        129 |                             torch.ao.nn.sparse.quantized.utils
import time:       182 |        536 |                           torch.ao.nn.sparse.quantized.dynamic.linear
import time:       137 |        672 |                         torch.ao.nn.sparse.quantized.dynamic
import time:       150 |        821 |                       torch.ao.nn.sparse.quantized
import time:       139 |        959 |                     torch.ao.nn.sparse
import time:       122 |        122 |                     torch.ao.quantization.stubs
import time:       338 |       2854 |                   torch.ao.quantization.quantization_mappings
import time:       220 |        220 |                   torch.ao.quantization.quantize
import time:       166 |        166 |                   torch.ao.quantization.quantize_jit
import time:       112 |        112 |                     torch.ao.quantization.pt2e
import time:       244 |        356 |                   torch.ao.quantization.pt2e.utils
import time:       263 |      16459 |                 torch.ao.quantization
import time:        10 |      16468 |               torch.ao.quantization.quantize
import time:       128 |      16595 |             torch.quantization.quantize
import time:       115 |        115 |             torch.quantization.observer
import time:       105 |        105 |             torch.quantization.qconfig
import time:       105 |        105 |             torch.quantization.fake_quantize
import time:        99 |         99 |             torch.quantization.fuse_modules
import time:        94 |         94 |             torch.quantization.stubs
import time:        94 |         94 |             torch.quantization.quant_type
import time:        95 |         95 |             torch.quantization.quantize_jit
import time:        98 |         98 |             torch.quantization.quantization_mappings
import time:        93 |         93 |             torch.quantization.fuser_method_mappings
import time:       162 |      17650 |           torch.quantization
import time:       148 |        148 |           torch.quasirandom
import time:       103 |        103 |           torch.multiprocessing._atfork
import time:       397 |        397 |           torch._lobpcg
import time:       173 |        173 |                   torch.masked.maskedtensor.core
import time:       749 |        921 |                 torch.masked.maskedtensor.binary
import time:       234 |        234 |                 torch.masked.maskedtensor.passthrough
import time:       104 |        104 |                   torch.masked.maskedtensor.creation
import time:       282 |        385 |                 torch.masked.maskedtensor.reductions
import time:       906 |        906 |                 torch.masked.maskedtensor.unary
import time:       149 |       2594 |               torch.masked.maskedtensor
import time:        11 |       2605 |             torch.masked.maskedtensor.core
import time:       172 |        172 |               torch.masked._docs
import time:       156 |        156 |                     mpmath.usertools
import time:        47 |         47 |                                 gmpy2
import time:        38 |         38 |                                 gmpy
import time:       127 |        212 |                               mpmath.libmp.backend
import time:       332 |        332 |                               mpmath.libmp.libintmath
import time:       374 |        916 |                             mpmath.libmp.libmpf
import time:       291 |        291 |                               mpmath.libmp.libelefun
import time:       242 |        533 |                             mpmath.libmp.libmpc
import time:       825 |        825 |                               mpmath.libmp.gammazeta
import time:       239 |       1063 |                             mpmath.libmp.libhyper
import time:       242 |        242 |                             mpmath.libmp.libmpi
import time:       200 |       2953 |                           mpmath.libmp
import time:        11 |       2963 |                         mpmath.libmp.backend
import time:       237 |        237 |                             mpmath.functions.functions
import time:       174 |        174 |                             mpmath.functions.factorials
import time:       244 |        244 |                             mpmath.functions.hypergeometric
import time:       158 |        158 |                             mpmath.functions.expintegrals
import time:       260 |        260 |                             mpmath.functions.bessel
import time:       156 |        156 |                             mpmath.functions.orthogonal
import time:       144 |        144 |                             mpmath.functions.theta
import time:       190 |        190 |                             mpmath.functions.elliptic
import time:       110 |        110 |                             mpmath.functions.signals
import time:       242 |        242 |                             mpmath.functions.zeta
import time:       197 |        197 |                             mpmath.functions.rszeta
import time:       198 |        198 |                             mpmath.functions.zetazeros
import time:       122 |        122 |                             mpmath.functions.qfunctions
import time:       238 |       2665 |                           mpmath.functions
import time:         9 |       2673 |                         mpmath.functions.functions
import time:       128 |        128 |                             mpmath.calculus.calculus
import time:       125 |        125 |                             mpmath.calculus.approximation
import time:       186 |        186 |                             mpmath.calculus.differentiation
import time:       264 |        264 |                             mpmath.calculus.extrapolation
import time:       131 |        131 |                             mpmath.calculus.polynomials
import time:       146 |        979 |                           mpmath.calculus
import time:       234 |       1212 |                         mpmath.calculus.quadrature
import time:       191 |        191 |                         mpmath.calculus.inverselaplace
import time:       275 |        275 |                         mpmath.calculus.optimization
import time:       134 |        134 |                         mpmath.calculus.odes
import time:       182 |        182 |                             mpmath.matrices.eigen
import time:       209 |        209 |                             mpmath.matrices.eigen_symmetric
import time:       128 |        518 |                           mpmath.matrices
import time:       224 |        742 |                         mpmath.matrices.matrices
import time:       153 |        153 |                         mpmath.matrices.calculus
import time:       182 |        182 |                         mpmath.matrices.linalg
import time:       231 |        231 |                         mpmath.identification
import time:       142 |        142 |                           colorsys
import time:       162 |        304 |                         mpmath.visualization
import time:       238 |       9293 |                       mpmath.ctx_base
import time:       187 |        187 |                       mpmath.math2
import time:       392 |        392 |                       mpmath.function_docs
import time:       205 |      10075 |                     mpmath.ctx_fp
import time:       233 |        233 |                       mpmath.rational
import time:      1202 |       1202 |                       mpmath.ctx_mp_python
import time:       516 |       1950 |                     mpmath.ctx_mp
import time:       350 |        350 |                     mpmath.ctx_iv
import time:       850 |      13379 |                   mpmath
import time:       164 |        164 |                   sympy.release
import time:       420 |        420 |                                 sympy.utilities.enumerative
import time:       189 |        189 |                                 sympy.utilities.misc
import time:       161 |        161 |                                   sympy.utilities.exceptions
import time:       174 |        334 |                                 sympy.utilities.decorator
import time:       379 |       1321 |                               sympy.utilities.iterables
import time:       243 |        243 |                                   sympy.external.importtools
import time:       153 |        395 |                                 sympy.external
import time:       335 |        730 |                               sympy.utilities.lambdify
import time:       199 |        199 |                                 timeit
import time:       129 |        328 |                               sympy.utilities.timeutils
import time:       146 |       2524 |                             sympy.utilities
import time:        10 |       2533 |                           sympy.utilities.iterables
import time:       167 |       2699 |                         sympy.core.random
import time:       146 |        146 |                           sympy.core.cache
import time:       149 |        295 |                         sympy.core.parameters
import time:       191 |        191 |                               sympy.core.logic
import time:       251 |        442 |                             sympy.core.facts
import time:       298 |        298 |                             sympy.core.assumptions_generated
import time:       214 |        953 |                           sympy.core.assumptions
import time:       147 |        147 |                           sympy.core.sorting
import time:       115 |        115 |                                       sympy.multipledispatch.utils
import time:       154 |        269 |                                     sympy.multipledispatch.conflict
import time:       190 |        458 |                                   sympy.multipledispatch.dispatcher
import time:       130 |        588 |                                 sympy.multipledispatch.core
import time:       122 |        709 |                               sympy.multipledispatch
import time:        10 |        718 |                             sympy.multipledispatch.dispatcher
import time:       197 |        915 |                           sympy.core.kind
import time:       122 |        122 |                           sympy.core._print_helpers
import time:       113 |        113 |                             sympy.core.core
import time:       182 |        294 |                           sympy.core.singleton
import time:       163 |        163 |                           sympy.core.traversal
import time:       550 |       3140 |                         sympy.core.basic
import time:       244 |       6377 |                       sympy.core.sympify
import time:       766 |        766 |                                 _decimal
import time:       138 |        903 |                               decimal
import time:       522 |        522 |                               fractions
import time:       177 |       1601 |                             sympy.external.pythonmpq
import time:       221 |        221 |                             sympy.external.ntheory
import time:        51 |         51 |                             flint
import time:        36 |         36 |                             gmpy2
import time:       189 |       2096 |                           sympy.external.gmpy
import time:       321 |       2416 |                         sympy.core.evalf
import time:       160 |        160 |                         sympy.core.decorators
import time:       141 |        141 |                         sympy.core.intfunc
import time:       343 |        343 |                           sympy.core.operations
import time:       340 |        340 |                             sympy.core.containers
import time:       360 |        360 |                                 sympy.core.add
import time:       136 |        136 |                                 sympy.core.rules
import time:      1396 |       1396 |                                       sympy.logic.boolalg
import time:       186 |        186 |                                       sympy.logic.inference
import time:       142 |       1724 |                                     sympy.logic
import time:        13 |       1736 |                                   sympy.logic.boolalg
import time:       580 |       2315 |                                 sympy.core.symbol
import time:      1080 |       3890 |                               sympy.core.function
import time:       155 |        155 |                                 sympy.core.coreerrors
import time:       898 |       1052 |                               sympy.core.relational
import time:       719 |       5660 |                             sympy.core.power
import time:      2279 |       8278 |                           sympy.core.numbers
import time:       505 |       9125 |                         sympy.core.mul
import time:       311 |        311 |                           sympy.core.exprtools
import time:       258 |        569 |                         sympy.core.mod
import time:       745 |      13153 |                       sympy.core.expr
import time:       137 |        137 |                       sympy.core.multidimensional
import time:       172 |      19838 |                     sympy.core
import time:        10 |      19847 |                   sympy.core.cache
import time:       111 |        111 |                       sympy.utilities.source
import time:       354 |        464 |                     sympy.assumptions.assume
import time:       285 |        285 |                       sympy.assumptions.cnf
import time:       156 |        156 |                       sympy.assumptions.ask_generated
import time:       302 |        743 |                     sympy.assumptions.ask
import time:       151 |        151 |                     sympy.assumptions.refine
import time:       256 |        256 |                       sympy.assumptions.relation.binrel
import time:       119 |        375 |                     sympy.assumptions.relation
import time:       140 |       1871 |                   sympy.assumptions
import time:       307 |        307 |                         sympy.polys.polyerrors
import time:       842 |       1148 |                       sympy.polys.polyoptions
import time:       121 |        121 |                             sympy.polys.domains.domainelement
import time:       191 |        191 |                             sympy.polys.orderings
import time:       177 |        177 |                               sympy.polys.domains.modularinteger
import time:       254 |        431 |                             sympy.polys.polyutils
import time:       326 |       1067 |                           sympy.polys.domains.domain
import time:       135 |        135 |                               sympy.polys.domains.ring
import time:       134 |        269 |                             sympy.polys.domains.field
import time:       118 |        118 |                             sympy.polys.domains.simpledomain
import time:       127 |        127 |                               sympy.polys.polyconfig
import time:       294 |        421 |                             sympy.polys.galoistools
import time:       111 |        111 |                               sympy.polys.domains.pythonrational
import time:       139 |        249 |                             sympy.polys.domains.groundtypes
import time:       196 |       1250 |                           sympy.polys.domains.finitefield
import time:       137 |        137 |                             sympy.polys.domains.characteristiczero
import time:       429 |        566 |                           sympy.polys.domains.integerring
import time:       164 |        164 |                           sympy.polys.domains.rationalfield
import time:       259 |        259 |                                 sympy.polys.monomials
import time:       281 |        540 |                               sympy.polys.densebasic
import time:       217 |        217 |                               sympy.polys.densearith
import time:       231 |        231 |                               sympy.polys.densetools
import time:       234 |        234 |                               sympy.polys.euclidtools
import time:       166 |        166 |                               sympy.polys.sqfreetools
import time:       287 |        287 |                               sympy.polys.factortools
import time:       314 |        314 |                               sympy.polys.rootisolation
import time:       677 |       2662 |                             sympy.polys.polyclasses
import time:       198 |       2859 |                           sympy.polys.domains.algebraicfield
import time:       333 |        333 |                           sympy.polys.domains.gaussiandomains
import time:       446 |        446 |                           sympy.polys.domains.realfield
import time:       384 |        384 |                           sympy.polys.domains.complexfield
import time:       165 |        165 |                             sympy.polys.domains.compositedomain
import time:       191 |        356 |                           sympy.polys.domains.polynomialring
import time:       166 |        166 |                           sympy.polys.domains.fractionfield
import time:       203 |        203 |                           sympy.polys.domains.expressiondomain
import time:       136 |        136 |                           sympy.polys.domains.expressionrawdomain
import time:       141 |        141 |                             sympy.polys.domains.pythonintegerring
import time:       120 |        261 |                           sympy.polys.domains.pythonfinitefield
import time:       141 |        141 |                             sympy.polys.domains.gmpyintegerring
import time:       116 |        257 |                           sympy.polys.domains.gmpyfinitefield
import time:       133 |        133 |                           sympy.polys.domains.pythonrationalfield
import time:       135 |        135 |                           sympy.polys.domains.gmpyrationalfield
import time:       222 |       8931 |                         sympy.polys.domains
import time:       170 |       9100 |                       sympy.polys.constructor
import time:       162 |        162 |                       sympy.polys.fglmtools
import time:       249 |        249 |                       sympy.polys.groebnertools
import time:       116 |        116 |                       sympy.polys.rationaltools
import time:       929 |      11702 |                     sympy.polys.polytools
import time:       171 |        171 |                             sympy.ntheory.primetest
import time:       252 |        422 |                           sympy.ntheory.generate
import time:       116 |        116 |                             sympy.ntheory.digits
import time:       179 |        179 |                             sympy.ntheory.ecm
import time:       365 |        659 |                           sympy.ntheory.factor_
import time:       142 |        142 |                               sympy.ntheory.modular
import time:       111 |        111 |                               sympy.utilities.memoization
import time:       345 |        597 |                             sympy.ntheory.residue_ntheory
import time:       154 |        750 |                           sympy.ntheory.partitions_
import time:       130 |        130 |                           sympy.ntheory.multinomial
import time:       134 |        134 |                           sympy.ntheory.continued_fraction
import time:       121 |        121 |                           sympy.ntheory.egyptian_fraction
import time:       172 |        172 |                           sympy.ntheory.qs
import time:       168 |       2552 |                         sympy.ntheory
import time:       524 |        524 |                           sympy.polys.compatibility
import time:       142 |        142 |                           sympy.polys.heuristicgcd
import time:       229 |        229 |                                   sympy.printing.conventions
import time:       153 |        153 |                                   sympy.printing.precedence
import time:       186 |        186 |                                   sympy.printing.printer
import time:       411 |        411 |                                   sympy.printing.str
import time:       108 |        108 |                                       sympy.core.alphabets
import time:      1374 |       1482 |                                     sympy.printing.pretty.pretty_symbology
import time:       222 |       1704 |                                   sympy.printing.pretty.stringpict
import time:      1496 |       4177 |                                 sympy.printing.pretty.pretty
import time:       167 |       4344 |                               sympy.printing.pretty
import time:       799 |        799 |                               sympy.printing.latex
import time:       464 |        464 |                               sympy.printing.mathml
import time:       257 |        257 |                                 sympy.printing.repr
import time:       168 |        425 |                               sympy.printing.python
import time:       145 |        145 |                                           sympy.functions.combinatorial
import time:       782 |        927 |                                         sympy.functions.combinatorial.factorials
import time:       184 |        184 |                                             sympy.functions.elementary
import time:       587 |        587 |                                               sympy.functions.elementary.miscellaneous
import time:       424 |        424 |                                               sympy.functions.elementary.piecewise
import time:      1109 |       2119 |                                             sympy.functions.elementary.complexes
import time:       700 |       3002 |                                           sympy.functions.elementary.exponential
import time:       166 |        166 |                                           sympy.polys.appellseqs
import time:     11158 |      14325 |                                         sympy.functions.combinatorial.numbers
import time:       746 |        746 |                                           sympy.functions.elementary.integers
import time:       218 |        218 |                                           sympy.functions.elementary._trigonometric_special
import time:      1646 |       2608 |                                         sympy.functions.elementary.trigonometric
import time:      1351 |       1351 |                                         sympy.functions.elementary.hyperbolic
import time:       167 |        167 |                                           sympy.functions.special
import time:      1202 |       1202 |                                           sympy.functions.special.hyper
import time:      1497 |       2864 |                                         sympy.functions.special.error_functions
import time:       662 |        662 |                                           sympy.functions.special.zeta_functions
import time:       748 |       1410 |                                         sympy.functions.special.gamma_functions
import time:       378 |        378 |                                         sympy.functions.special.tensor_functions
import time:       352 |        352 |                                               sympy.polys.polyquinticconst
import time:       265 |        616 |                                             sympy.polys.polyroots
import time:       435 |       1051 |                                           sympy.functions.special.delta_functions
import time:       237 |       1287 |                                         sympy.functions.special.singularity_functions
import time:      1056 |       1056 |                                               sympy.sets.sets
import time:       810 |        810 |                                               sympy.sets.fancysets
import time:       184 |        184 |                                               sympy.sets.contains
import time:       211 |        211 |                                               sympy.sets.conditionset
import time:       312 |        312 |                                               sympy.sets.ordinals
import time:       173 |        173 |                                               sympy.sets.powerset
import time:       120 |        120 |                                                 sympy.sets.handlers
import time:      1075 |       1195 |                                               sympy.sets.handlers.comparison
import time:       178 |       4115 |                                             sympy.sets
import time:        11 |       4125 |                                           sympy.sets.sets
import time:       170 |       4295 |                                         sympy.functions.special.bsplines
import time:       219 |        219 |                                           sympy.polys.orthopolys
import time:      1489 |       1708 |                                         sympy.functions.special.bessel
import time:      1276 |       1276 |                                         sympy.functions.special.polynomials
import time:       320 |        320 |                                         sympy.functions.special.spherical_harmonics
import time:       459 |        459 |                                         sympy.functions.special.elliptic_integrals
import time:       406 |        406 |                                         sympy.functions.special.beta_functions
import time:       416 |        416 |                                         sympy.functions.special.mathieu_functions
import time:       279 |      34302 |                                       sympy.functions
import time:        10 |      34312 |                                     sympy.functions.elementary
import time:         9 |      34321 |                                   sympy.functions.elementary.complexes
import time:       314 |      34634 |                                 sympy.printing.codeprinter
import time:       451 |      35085 |                               sympy.printing.pycode
import time:       394 |        394 |                                 sympy.assumptions.relation.equality
import time:       357 |        750 |                               sympy.printing.smtlib
import time:       237 |        237 |                               sympy.printing.glsl
import time:       212 |        212 |                               sympy.printing.rcode
import time:       292 |        292 |                               sympy.printing.jscode
import time:       276 |        276 |                               sympy.printing.julia
import time:       267 |        267 |                               sympy.printing.mathematica
import time:       287 |        287 |                               sympy.printing.octave
import time:       129 |        129 |                                 sympy.utilities.mathml
import time:       133 |        261 |                               sympy.printing.gtk
import time:       171 |        171 |                               sympy.printing.preview
import time:       105 |        105 |                               sympy.printing.tree
import time:       157 |        157 |                               sympy.printing.tableform
import time:       160 |        160 |                               sympy.printing.dot
import time:       219 |        219 |                               sympy.printing.maple
import time:       211 |      44711 |                             sympy.printing
import time:       133 |      44843 |                           sympy.printing.defaults
import time:       115 |        115 |                           sympy.utilities.magic
import time:       718 |      46341 |                         sympy.polys.rings
import time:       201 |      49093 |                       sympy.polys.specialpolys
import time:       158 |      49250 |                     sympy.polys.polyfuncs
import time:       286 |        286 |                           sympy.polys.puiseux
import time:       272 |        558 |                         sympy.polys.ring_series
import time:       893 |        893 |                         sympy.polys.rootoftools
import time:       279 |       1728 |                       sympy.polys.numberfields.minpoly
import time:       180 |        180 |                       sympy.polys.numberfields.subfield
import time:       193 |        193 |                               sympy.polys.matrices.exceptions
import time:       152 |        152 |                               sympy.polys.matrices.domainscalar
import time:       149 |        149 |                                   sympy.polys.matrices._typing
import time:       179 |        327 |                                 sympy.polys.matrices.dense
import time:       152 |        152 |                                 sympy.polys.matrices.lll
import time:       350 |        350 |                                 sympy.polys.matrices.sdm
import time:       136 |        136 |                                 sympy.polys.matrices.dfm
import time:       318 |       1282 |                               sympy.polys.matrices.ddm
import time:       155 |        155 |                               sympy.polys.matrices.rref
import time:       476 |       2256 |                             sympy.polys.matrices.domainmatrix
import time:       141 |       2396 |                           sympy.polys.matrices
import time:        12 |       2408 |                         sympy.polys.matrices.exceptions
import time:       393 |        393 |                           sympy.printing.numpy
import time:       209 |        602 |                         sympy.printing.lambdarepr
import time:       209 |       3218 |                       sympy.polys.numberfields.utilities
import time:       177 |        177 |                           sympy.polys.matrices.normalforms
import time:       144 |        144 |                           sympy.polys.numberfields.exceptions
import time:       400 |        721 |                         sympy.polys.numberfields.modules
import time:       161 |        882 |                       sympy.polys.numberfields.basis
import time:       239 |        239 |                       sympy.polys.numberfields.primes
import time:       232 |        232 |                         sympy.polys.numberfields.galois_resolvents
import time:       201 |        432 |                       sympy.polys.numberfields.galoisgroups
import time:       161 |       6837 |                     sympy.polys.numberfields
import time:       174 |        174 |                         sympy.matrices.exceptions
import time:       180 |        180 |                         sympy.matrices.kind
import time:       185 |        185 |                             sympy.matrices.utilities
import time:       198 |        198 |                             sympy.matrices.determinant
import time:       208 |        590 |                           sympy.matrices.decompositions
import time:       539 |        539 |                                 sympy.tensor.indexed
import time:       189 |        189 |                                 sympy.tensor.index_methods
import time:       210 |        210 |                                 sympy.tensor.functions
import time:       266 |        266 |                                       sympy.tensor.array.ndim_array
import time:       117 |        383 |                                     sympy.tensor.array.mutable_ndim_array
